#features:X, Y0, Y0_error, Y1, Y1_error, Y2, Y2_error
#units:energy,intensity,intensity,intensity,intensity,intensity,intensity
-0.0998,3.11503e-05,1.05058e-05,6.63927e-05,1.27345e-05,9.41e-05,1.52489e-05
-0.0994,5.62496e-05,1.24494e-05,6.31917e-05,1.1454e-05,7.08198e-05,1.21289e-05
-0.099,5.03196e-05,1.23583e-05,5.27297e-05,1.29338e-05,9.30116e-05,1.68258e-05
-0.0986,8.04087e-05,1.71047e-05,5.49267e-05,1.37831e-05,7.59784e-05,1.42642e-05
-0.0982,5.03579e-05,1.04107e-05,6.41059e-05,1.17493e-05,7.51211e-05,1.16984e-05
-0.0978,6.64613e-05,1.71451e-05,4.79712e-05,1.13836e-05,4.89597e-05,1.13364e-05
-0.0974,4.89228e-05,1.18219e-05,6.51931e-05,1.30777e-05,7.82205e-05,1.50652e-05
-0.097,5.3106e-05,1.26493e-05,7.02423e-05,1.48958e-05,9.7297e-05,1.54618e-05
-0.0966,4.61054e-05,1.07115e-05,5.50736e-05,1.26723e-05,9.752e-05,1.55541e-05
-0.0962,5.46963e-05,1.06676e-05,6.21552e-05,1.05366e-05,8.30943e-05,1.22241e-05
