0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.36,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.35,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36,0.25,0.25,0.36,0.25,0.36
0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.21,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.20,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.21,0.15,0.15,0.21,0.15,0.22
0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.17,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.17,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.17,0.12,0.12,0.17,0.12,0.17
0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.11,0.10,0.10,0.11,0.10,0.11,0.11,0.15,0.10,0.11,0.11,0.10,0.11,0.11,0.10,0.11,0.11,0.11,0.15,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.11,0.15,0.11,0.15
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.13,0.10,0.09,0.14,0.09,0.13
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.12,0.08,0.12
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.12,0.08,0.11
0.11,0.11,0.10,0.11,0.11,0.11,0.11,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.10,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.10,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.11,0.08,0.08,0.11,0.08,0.11
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.11,0.11,0.15,0.11,0.15
0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.07,0.07,0.10,0.07,0.10
0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.09,0.06,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.09,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.10,0.07,0.07,0.10,0.07,0.10
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.09,0.06,0.09
0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.09,0.06,0.09
0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.06,0.06,0.09,0.06,0.09
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.09,0.06,0.09
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.12,0.09,0.09,0.13,0.09,0.12
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.08,0.06,0.08
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.08,0.06,0.08
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.08,0.06,0.08
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.08,0.06,0.08
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.08,0.06,0.08
