0.14746,0.147436,0.147311,0.146969,0.144811,0.140773,0.14414,0.144165,0.14748,0.144036,0.143742,0.146318,0.141852,0.140335,0.144235,0.147626,0.144348,0.144088,0.146494,0.141845,0.140267,0.148382,0.148406,0.144763,0.14051,0.14665,0.14909,0.147456,0.141322,0.139556,0.145358,0.139308,0.138439,0.140235,0.137499,0.137483,0.136446,0.13707,0.137965
0.207269,0.207224,0.206988,0.206347,0.202382,0.19522,0.201792,0.201837,0.207302,0.201594,0.201044,0.205138,0.197519,0.194483,0.201966,0.207567,0.202161,0.201665,0.205462,0.19751,0.194367,0.208904,0.208883,0.202312,0.194756,0.206153,0.210074,0.207119,0.196576,0.193089,0.203421,0.193026,0.191084,0.194693,0.189799,0.189341,0.187824,0.18849,0.189655
0.312627,0.312553,0.312179,0.31119,0.305137,0.294282,0.304351,0.304415,0.312664,0.304028,0.303179,0.309333,0.297788,0.293169,0.304608,0.313063,0.304885,0.304116,0.309819,0.29777,0.292986,0.315069,0.315014,0.305012,0.293562,0.310899,0.316799,0.312297,0.296327,0.291023,0.306678,0.290936,0.287965,0.293457,0.286026,0.285297,0.283002,0.283979,0.285708
0.416488,0.41639,0.415891,0.414573,0.406509,0.392049,0.405465,0.40555,0.416539,0.405034,0.403902,0.4121,0.39672,0.390567,0.405807,0.41707,0.406176,0.405152,0.412747,0.396696,0.390323,0.419742,0.419668,0.406343,0.391089,0.414186,0.422045,0.416046,0.394771,0.387706,0.408559,0.387588,0.383629,0.390944,0.381045,0.380073,0.377014,0.378314,0.380616
0.518039,0.517917,0.517299,0.515662,0.505633,0.487646,0.504329,0.504436,0.518105,0.503797,0.50239,0.512588,0.493458,0.485805,0.504758,0.518768,0.505218,0.503946,0.513395,0.49343,0.485504,0.522095,0.522005,0.505432,0.486458,0.515187,0.524963,0.517503,0.491039,0.482251,0.508191,0.482106,0.477182,0.486281,0.473967,0.472759,0.468953,0.47057,0.473435
0.616758,0.616612,0.615877,0.613928,0.601988,0.580574,0.600438,0.600564,0.616838,0.599804,0.598129,0.610271,0.587496,0.578384,0.60095,0.617632,0.601499,0.599985,0.611235,0.587465,0.578028,0.621596,0.62149,0.601758,0.579168,0.613374,0.625014,0.616131,0.584624,0.574161,0.605046,0.57399,0.568127,0.578961,0.564301,0.562862,0.558331,0.560257,0.563667
0.712998,0.712829,0.711979,0.709726,0.695921,0.671164,0.69413,0.694275,0.713091,0.693397,0.691461,0.7055,0.679168,0.668633,0.694724,0.714011,0.695359,0.693609,0.706616,0.679134,0.668223,0.718597,0.718474,0.69566,0.669543,0.709094,0.72255,0.712281,0.675853,0.663754,0.699466,0.663558,0.656779,0.669307,0.652355,0.650692,0.645455,0.647681,0.651624
0.798763,0.798567,0.797583,0.795045,0.779582,0.751888,0.777616,0.77777,0.798844,0.776757,0.774573,0.790298,0.760808,0.749044,0.778264,0.799866,0.778941,0.776967,0.791534,0.760759,0.748573,0.80496,0.804806,0.779251,0.750038,0.794289,0.809345,0.797833,0.757039,0.743527,0.783462,0.743251,0.735695,0.74967,0.730693,0.728865,0.722966,0.7255,0.729943
0.822091,0.82187,0.820705,0.817981,0.801837,0.774172,0.800875,0.801012,0.822097,0.799829,0.797458,0.812902,0.783047,0.771243,0.801495,0.823151,0.802058,0.799921,0.814138,0.782955,0.770694,0.828287,0.827943,0.801322,0.772103,0.81771,0.83247,0.820351,0.778861,0.76524,0.805401,0.764526,0.756944,0.770947,0.751411,0.749725,0.743306,0.746237,0.751044
0.92669,0.926465,0.925333,0.922394,0.904459,0.872325,0.902156,0.902338,0.926791,0.901171,0.898643,0.916891,0.882677,0.869027,0.902913,0.927979,0.903708,0.901423,0.918328,0.882622,0.868482,0.9339,0.933727,0.904082,0.870185,0.921524,0.938998,0.925645,0.878315,0.862635,0.908975,0.862321,0.853552,0.86977,0.847753,0.845631,0.838789,0.841727,0.846881
